metric,parameter,standardized_jacobian,absolute_rank_basis
active_rl_min_db,common_trace_width_mm,-1.0271582023189836,1.0271582023189836
active_rl_min_db,outer_edge_gap_mm,0.7779625391652958,0.7779625391652958
active_rl_min_db,center_edge_gap_mm,0.07430145566242874,0.07430145566242874
active_rl_min_db,shunt_reference_offset_mm,-0.5419482081156528,0.5419482081156528
active_rl_min_db,common_post_length_delta_mm,0.3848952066358694,0.3848952066358694
total_rl_min_db,common_trace_width_mm,-1.127385710063042,1.127385710063042
total_rl_min_db,outer_edge_gap_mm,0.5795131234659605,0.5795131234659605
total_rl_min_db,center_edge_gap_mm,0.25055566650535077,0.25055566650535077
total_rl_min_db,shunt_reference_offset_mm,-0.47495166082602736,0.47495166082602736
total_rl_min_db,common_post_length_delta_mm,-0.04811103681915238,0.04811103681915238
passive_rl_min_db,common_trace_width_mm,-1.3709191756724763,1.3709191756724763
passive_rl_min_db,outer_edge_gap_mm,0.6530011886074026,0.6530011886074026
passive_rl_min_db,center_edge_gap_mm,0.3605262240806687,0.3605262240806687
passive_rl_min_db,shunt_reference_offset_mm,-0.7522096278654624,0.7522096278654624
passive_rl_min_db,common_post_length_delta_mm,0.5877999766785225,0.5877999766785225
network_efficiency_min,common_trace_width_mm,-0.009128732017167055,0.009128732017167055
network_efficiency_min,outer_edge_gap_mm,0.009997001413552628,0.009997001413552628
network_efficiency_min,center_edge_gap_mm,-0.027187967601584477,0.027187967601584477
network_efficiency_min,shunt_reference_offset_mm,-0.007143283269708706,0.007143283269708706
network_efficiency_min,common_post_length_delta_mm,0.015739515210016465,0.015739515210016465
physical_vs_target_s8_max_abs_delta,common_trace_width_mm,0.07338841407629425,0.07338841407629425
physical_vs_target_s8_max_abs_delta,outer_edge_gap_mm,-0.045404630939195285,0.045404630939195285
physical_vs_target_s8_max_abs_delta,center_edge_gap_mm,-0.012701211370490757,0.012701211370490757
physical_vs_target_s8_max_abs_delta,shunt_reference_offset_mm,0.043759272506971175,0.043759272506971175
physical_vs_target_s8_max_abs_delta,common_post_length_delta_mm,-0.018943875948274604,0.018943875948274604
