case_id,variable,sign,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,small_mesh_segment_min_length_mm,small_mesh_segment_max_length_mm,reciprocity_error,passivity_sigma,gate_pass
ground_load_x_mm_minus,ground_load_x_mm,-1,2,0.00856276,True,322,9.131477355957031,483456,0.006624,0.015754,6.730300650587284e-06,0.9766215937796255,True
ground_load_x_mm_plus,ground_load_x_mm,1,2,0.0160336,True,316,8.933490753173828,473616,0.001229,0.0157,6.337580256469384e-07,0.977768609825321,False
bridge_common_x_mm_minus,bridge_common_x_mm,-1,2,0.00627607,True,320,9.026233673095703,480011,0.004906,0.015161,3.479749092887729e-06,0.9771749391530463,False
bridge_common_x_mm_plus,bridge_common_x_mm,1,2,0.00742875,True,326,9.356216430664062,490726,0.003876,0.015723,5.4075246799759655e-06,0.9773886912760567,False
bridge_half_stagger_mm_minus,bridge_half_stagger_mm,-1,2,0.00518449,True,316,8.97186279296875,476391,0.009128,0.015269,6.284875852590068e-06,0.9772207198441758,True
bridge_half_stagger_mm_plus,bridge_half_stagger_mm,1,2,0.00429311,True,316,8.950645446777344,474014,0.000246,0.015079,3.6089634108223196e-06,0.9769993004394694,False
bridge_height_mm_minus,bridge_height_mm,-1,2,0.0132254,True,316,9.024959564208984,475977,0.001976,0.015,7.03444537674909e-06,0.9773684069292816,False
bridge_height_mm_plus,bridge_height_mm,1,2,0.0083642,True,334,9.44952392578125,500715,0.000546,0.015018,1.424184520517728e-06,0.9770987047680844,False
bridge_sheet_width_mm_minus,bridge_sheet_width_mm,-1,2,0.0110038,True,310,8.845035552978516,466159,0.003849,0.015766,6.712691793158193e-06,0.9771903626455418,False
bridge_sheet_width_mm_plus,bridge_sheet_width_mm,1,2,0.0036896,True,326,9.176219940185547,489793,0.009375,0.015679,2.8758020594278774e-06,0.9771562973058406,True
