scope,count,active_rl_min_db,active_rl_q05_db,active_rl_median_db,total_rl_min_db,active_gate_pass_count,active_gate_pass_rate,total_gate_pass_count,total_gate_pass_rate,joint_gate_pass_count,joint_gate_pass_rate,frequency_ghz,k_value
overall,285,5.079858141132623,7.386784663084007,10.348680542476558,11.313266967920708,113,0.39649122807017545,285,1.0,113,0.39649122807017545,,
frequency,57,6.114522543904968,7.553609895340356,10.250967563166018,12.489112006178315,21,0.3684210526315789,57,1.0,21,0.3684210526315789,10.0,
frequency,114,6.055262178800836,8.021730943916303,10.976107852960848,11.473899741493385,56,0.49122807017543857,114,1.0,56,0.49122807017543857,10.04,
frequency,114,5.079858141132623,7.183749747117748,9.999360327420014,11.313266967920708,36,0.3157894736842105,114,1.0,36,0.3157894736842105,9.96,
k,135,7.215248052335525,7.978608018666298,10.507203118352649,11.313266967920708,61,0.45185185185185184,135,1.0,61,0.45185185185185184,,2
k,150,5.079858141132623,6.7824371896538915,9.903428925527187,11.379621779690536,52,0.3466666666666667,150,1.0,52,0.3466666666666667,,4
k_frequency,27,8.106250650694907,8.329681270906137,10.689231491430442,12.553827391484969,13,0.48148148148148145,27,1.0,13,0.48148148148148145,10.0,2
k_frequency,54,7.9086470026455356,8.245238691464946,10.84961432622255,11.688068610052213,26,0.48148148148148145,54,1.0,26,0.48148148148148145,10.04,2
k_frequency,54,7.215248052335525,7.836108844395791,10.402309222609379,11.313266967920708,22,0.4074074074074074,54,1.0,22,0.4074074074074074,9.96,2
k_frequency,30,6.114522543904968,6.825130760770253,9.566985121517021,12.489112006178315,8,0.26666666666666666,30,1.0,8,0.26666666666666666,10.0,4
k_frequency,60,6.055262178800836,7.671080914187794,11.130169559421743,11.473899741493385,30,0.5,60,1.0,30,0.5,10.04,4
k_frequency,60,5.079858141132623,6.67247557189333,9.042001853433291,11.379621779690536,14,0.23333333333333334,60,1.0,14,0.23333333333333334,9.96,4
