stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,selected_frequency_ghz,active_rl_db,total_rl_db
0,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,9.96,7.993201421715954,12.317468780594371
1,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,0,3,9.96,10.495394555314792,12.620787817494856
2,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,1,3,9.96,8.70465784777654,12.161538119323998
3,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,3,9.96,7.898335225222746,12.328354320468474
4,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,0,3,9.96,10.617807308224826,12.625860855924527
5,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,1,3,9.96,8.870314319585312,12.19917265534004
6,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,combined,-1,3,10.0,8.106250650694907,13.117197895364715
7,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,0,3,10.0,9.746633151446526,13.146060319342263
8,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,1,3,10.0,9.020366613309163,12.784291109294958
9,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,combined,-1,3,10.04,8.317671937380114,13.566044151664094
10,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,0,3,10.04,8.407028503828661,12.990391485113062
11,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,1,3,10.04,9.50489310260999,13.11248183896332
12,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,combined,-1,3,10.04,8.110719806193922,13.508371616505162
13,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,0,3,10.04,8.445084403303007,12.93757110307693
14,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,1,3,10.04,9.544362320752182,13.087594514153107
15,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,combined,-1,2,9.96,13.090498501346623,11.673997054190764
16,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,0,2,9.96,15.190513687833501,11.957470851489283
17,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,1,2,9.96,12.846038604784447,11.313266967920708
18,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,combined,-1,2,9.96,13.161925813491175,11.669669885528453
19,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,0,2,9.96,15.155008171113382,11.944429112642649
20,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,1,2,9.96,12.886641635062347,11.316932637355244
21,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,combined,-1,2,10.0,14.222549656932703,12.74327082193359
22,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,0,2,10.0,16.95054051624983,12.861594224641992
23,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,1,2,10.0,14.634023547634897,12.576619054426178
24,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,combined,-1,2,10.04,16.58563248608906,14.215072563809994
25,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,0,2,10.04,19.629870940725763,13.845044244214709
26,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,1,2,10.04,19.197514578307526,14.828243276821313
27,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,combined,-1,2,10.04,16.69519134940022,14.26218533944752
28,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,0,2,10.04,19.56935309727357,13.89926345049502
29,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,1,2,10.04,19.285765594584884,14.848376153474279
30,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,combined,-1,3,9.96,9.415695527383862,12.380073107669764
31,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,0,3,9.96,13.78500714670147,12.686921065236866
32,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,1,3,9.96,12.20087248057104,12.239801716579393
33,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,2,3,9.96,11.440088615898617,12.297989701920445
34,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,3,3,9.96,8.81318580037635,12.035015339311476
35,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,3,9.96,9.156403249825097,12.3599994534011
36,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,0,3,9.96,13.67242624390891,12.705246717217848
37,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,1,3,9.96,12.10257909011881,12.260199152412882
38,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,2,3,9.96,11.382854834916508,12.280888587677726
39,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,3,3,9.96,8.774779841185934,12.048339047675258
40,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,combined,-1,3,10.0,9.200353769735738,13.089729002324857
41,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,0,3,10.0,14.336621412457596,12.936255713062257
42,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,1,3,10.0,13.236729017254525,13.07275027496721
43,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,2,3,10.0,11.806741923597881,13.049651894003878
44,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,3,3,10.0,9.882090370332246,13.137404059592221
