stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,selected_frequency_ghz,active_rl_db,total_rl_db
0,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,9.96,7.696969604593877,12.45865192110401
1,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,0,3,9.96,9.29279497821959,12.483816400892302
2,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,1,3,9.96,8.48711193257799,12.175874522059598
3,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,3,9.96,7.618943456111168,12.468757641873953
4,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,0,3,9.96,9.402563853730223,12.484274754133525
5,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,1,3,9.96,8.613042093151076,12.178472280037989
6,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,combined,-1,3,10.0,7.825059560746616,13.068811162601023
7,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,0,3,10.0,8.365133649639699,12.611173189336316
8,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,1,3,10.0,8.912166508825386,12.644389298213405
9,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,combined,-1,3,10.04,7.897891893913444,12.79770327792755
10,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,0,3,10.04,7.517009146938788,12.01129760656704
11,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,1,3,10.04,9.231882800880312,12.33853163206583
12,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,combined,-1,3,10.04,7.687469058401204,12.724869960420563
13,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,0,3,10.04,7.541887958212357,11.953121036056798
14,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,1,3,10.04,9.279015820269661,12.311739561808823
15,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,combined,-1,2,9.96,13.301113366337187,12.373482752443223
16,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,0,2,9.96,15.71295178893348,12.489137865905253
17,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,1,2,9.96,13.573260569201224,12.086655471996115
18,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,combined,-1,2,9.96,13.393781274208871,12.367350788933846
19,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,0,2,9.96,15.686869177832733,12.479200858437423
20,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,1,2,9.96,13.612334426953172,12.087759337464533
21,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,combined,-1,2,10.0,15.023268115013666,13.674707067249471
22,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,0,2,10.0,17.974744004776724,13.4804642189684
23,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,1,2,10.0,16.548673289883972,13.902074377469528
24,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,combined,-1,2,10.04,15.653809662675041,13.936021457746598
25,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,0,2,10.04,17.669901216027366,13.413276269541118
26,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,1,2,10.04,18.968183604515872,14.928846156285847
27,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,combined,-1,2,10.04,15.82019860974076,14.009594193920801
28,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,0,2,10.04,17.6877709565325,13.494646028883597
29,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,1,2,10.04,19.10666046808181,14.961286876574123
30,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,combined,-1,3,9.96,8.694996314058995,12.430073366404002
31,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,0,3,9.96,13.457565411015997,12.387786383584118
32,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,1,3,9.96,12.49838275877681,12.423120727326005
33,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,2,3,9.96,11.112430072958743,12.354893470862114
34,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,3,3,9.96,9.444389416236408,12.629648292430867
35,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,3,9.96,8.481861591962415,12.439707354863911
36,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,0,3,9.96,13.309234590053325,12.381632486321035
37,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,1,3,9.96,12.4197824292735,12.437294491412185
38,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,2,3,9.96,11.075624929154555,12.36219993386609
39,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,3,3,9.96,9.42099703605836,12.658869969635077
40,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,combined,-1,3,10.0,8.394090942709381,12.913637595433176
41,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,0,3,10.0,13.55633862798152,12.33943707360108
42,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,1,3,10.0,13.133817962825642,13.239211807470564
43,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,2,3,10.0,11.360023919589025,12.959249047973135
44,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,3,3,10.0,11.263749377008033,13.885878005885417
45,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,combined,-1,3,10.04,8.028780199997605,12.565677930435514
46,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,0,3,10.04,11.577471209806049,11.643096166159157
47,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,1,3,10.04,11.3695793561518,13.17975204124095
48,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,2,3,10.04,10.554950662361636,12.744188585311209
49,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,3,3,10.04,13.494326175340243,14.078153571473408
50,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,combined,-1,3,10.04,8.056799449454635,12.522870989959419
51,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,0,3,10.04,11.608993721137693,11.708926164024014
52,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,1,3,10.04,11.369035372098967,13.193318656880166
53,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,2,3,10.04,10.522291689355036,12.660613448270366
54,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,3,3,10.04,13.360988010602124,14.046530098940508
55,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,combined,-1,2,9.96,15.404586065753772,12.49012973663245
56,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,0,2,9.96,16.83841536259186,12.660090859101574
57,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,1,2,9.96,14.929061538477677,12.273950759015548
58,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,2,9.96,15.400851845401117,12.493521238292999
59,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,0,2,9.96,16.855713162707595,12.665352062924747
60,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,1,2,9.96,14.919120336160558,12.274782572322136
61,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,combined,-1,2,10.0,17.443082039195378,13.50039740055755
62,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,task,0,2,10.0,19.131855118189993,13.345838826044364
63,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,task,1,2,10.0,17.58438222135126,13.655926538755521
64,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,combined,-1,2,10.04,17.192609205022283,13.446662210077784
65,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,task,0,2,10.04,17.955450066026387,12.971398638866178
66,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,task,1,2,10.04,18.271994068331622,14.05979741056777
67,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,combined,-1,2,10.04,17.226032571871258,13.438217075967163
68,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,task,0,2,10.04,18.011205202557356,12.970752069031853
69,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,task,1,2,10.04,18.283795449796266,14.057332789449548
70,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,9.96,9.29208636272148,12.90385668268591
71,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,0,3,9.96,9.880966570717174,12.53719796036293
72,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,1,3,9.96,10.452943167468048,12.283147531467515
73,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,2,3,9.96,8.174175192683954,12.610731596461733
