stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,selected_frequency_ghz,active_rl_db,total_rl_db
79,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_E2_source,task,3,3,9.96,5.079858141132623,11.52680822113578
74,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,3,3,9.96,5.09235093486878,11.515925840330807
240,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,combined,-1,4,10.04,6.055262178800836,11.593969300373043
235,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,combined,-1,4,10.04,6.077035448375543,11.610291024728452
84,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,10.0,nominal_identity,task,3,3,10.0,6.114522543904968,13.064352094053156
165,2,edge,14,10,0.5826155150276308,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,combined,-1,2,9.96,6.435702139858268,11.735262430186852
230,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,combined,-1,4,10.0,6.624214910660165,12.53813113079844
170,2,edge,14,10,0.5826155150276308,426113,stress,4,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,2,9.96,6.684937331474123,11.725856119467835
267,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,9.96,frequency_low_E2_source,task,1,4,9.96,6.901603682984719,12.222647305350684
175,2,edge,14,10,0.5826155150276308,426113,stress,4,0.800000011920929,10.0,nominal_identity,combined,-1,2,10.0,7.070694577571471,12.830356417599498
262,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,1,4,9.96,7.125252894570446,12.214166236045656
193,2,interior,9,6,0.9661688989903746,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,4,9.96,7.215248052335525,11.92080355804297
225,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,4,9.96,7.255608100774561,12.760488448451886
220,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,combined,-1,4,9.96,7.2864778575896425,12.758053671678056
190,2,interior,9,6,0.9661688989903746,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,4,9.96,7.34002276257031,11.906492335896964
227,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,1,4,9.96,7.573832265138792,12.282977076924535
222,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,1,4,9.96,7.622832292731995,12.252130430089954
241,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,0,4,10.04,7.65659124320956,11.679918514935393
236,2,interior,9,6,0.9661688989903746,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,0,4,10.04,7.6718435284498065,11.746446692713967
272,2,interior,9,6,0.9661688989903746,426113,stress,4,0.800000011920929,10.0,nominal_identity,task,1,4,10.0,7.674338724782578,12.851722835618924
