source_run,case_id,spacing_mm,top_substrate_thickness_mm,feed_substrate_thickness_mm,relative_permittivity,loss_tangent,copper_thickness_mm,patch_width_mm,patch_length_mm,dual_slot_width_mm,feed_line_start_offset_mm,port_sheet_margin_mm,launch_gap_mm,launch_ground_pad_width_mm,launch_ground_pad_length_mm,launch_via_radius_mm,launch_port_margin_mm,local_mesh_max_length_mm,adaptive_refinement_percent,candidate_id,dual_slot_length_mm,dual_slot_center_separation_mm,coupling_aperture_length_mm,coupling_aperture_width_mm,coupling_aperture_y_offset_mm,feed_line_width_mm,open_stub_length_mm,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,frequency_ghz,s11_real,s11_imag,s11_magnitude,s11_phase_deg,input_resistance_ohm,input_reactance_ohm,passive_rl_db,topology_warning_count,screen_gate_pass,distance_to_50ohm,ideal_series_reactance_cancel_rl_db,gamma_distance_to_origin
joint_screen,joint_b_long_high,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,joint_b_long_high,3.4,1.05,5.0,0.85,0.4,2.6,4.4,5,0.0230806,True,270,9.661754608154297,216136,10.0,-0.09190196778518953,-0.6134571006603721,0.620302818011832,-98.52011496841851,19.61087740510414,-39.109085144318406,4.147924916948661,0,False,49.52796495832589,7.199178933299482,0.620302818011832
tongue_resonance_recovery,res_q_b_aperture_lift,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_q_b_aperture_lift,3.4,1.05,5.4,0.85,0.3,2.6,4.2,6,0.0163544,True,336,10.622772216796875,234766,10.0,0.144911096686026,-0.6113972718780232,0.628335778069844,-76.6660206010528,27.3847557095449,-55.330888218053,4.0361642083259035,0,False,59.7742123772086,10.685082651402642,0.628335778069844
tongue_resonance_recovery,res_r_joint_resonance,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_r_joint_resonance,3.55,0.95,5.6,0.85,0.2,2.5,4.1,5,0.0271034,True,282,9.975044250488281,222590,10.0,0.31662725163896155,-0.5837859520735095,0.664122619942143,-61.5259797084444,34.59631932911494,-72.26823565895313,3.5550345497554336,0,False,73.89161835735217,14.794539221457788,0.664122619942143
tongue_resonance_recovery,res_n_e_tongue_3p65,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_n_e_tongue_3p65,3.65,0.75,5.6,0.75,-0.1,2.6,4.0,5,0.0230295,True,270,9.831169128417969,217257,10.0,0.5060698575299936,-0.4578891632755439,0.682472846746012,-42.13861792546089,58.88405042388555,-100.9390244809216,3.31829246062944,0,False,101.32923080283513,21.767065063163283,0.682472846746012
joint_screen,joint_e_mid_capacitive,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,joint_e_mid_capacitive,3.0,0.75,5.6,0.75,-0.1,2.6,4.0,5,0.0230391,True,270,10.027835845947266,218499,10.0,0.5054915519018301,-0.45941918117226516,0.683072245866508,-42.266328415923,58.538952360224414,-100.83725932368827,3.3106672053781576,0,False,101.19815499959938,22.083620695610353,0.683072245866508
tongue_resonance_recovery,res_m_e_tongue_3p40,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_m_e_tongue_3p40,3.4,0.75,5.6,0.75,-0.1,2.6,4.0,5,0.0239268,True,258,9.26251220703125,206997,10.0,0.5044373476866069,-0.46106213027700405,0.6833998285898729,-42.4277076007621,58.16351722362114,-100.63329315995024,3.306502689336916,0,False,100.96386831771476,22.44406975379772,0.6833998285898729
tongue_resonance_recovery,res_o_mid_tongue_aperture,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_o_mid_tongue_aperture,3.5,0.85,5.5,0.75,0.0,2.5,4.0,6,0.014506,True,322,10.154800415039062,223938,10.0,0.4999473515348511,-0.47801152864402324,0.691695291167511,-43.7150591047698,54.493800082194895,-99.88796432620866,3.2017036168854536,0,False,99.98899767680776,27.329535508421134,0.691695291167511
tongue_resonance_recovery,res_p_narrow_tongue_lower_q,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,res_p_narrow_tongue_lower_q,3.45,0.7,5.4,0.7,0.0,2.5,3.9,5,0.0207888,True,258,9.023170471191406,204694,10.0,0.5412498503351947,-0.45177432792413125,0.705018754260602,-39.85132050168281,60.66173456081601,-108.97899607152267,3.0359866030497713,0,False,109.49928843879424,20.323392146311395,0.705018754260602
complex_impedance_target,target_k_b_resistance_lift,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,target_k_b_resistance_lift,3.3,0.95,5.35,0.85,0.25,2.45,3.3,5,0.0160597,True,270,9.802967071533203,214801,10.0,0.7128363807248032,-0.26032259865063906,0.7588831010459108,-20.061821328082402,141.14829983811026,-173.28177666482813,2.3965023603701257,0,False,195.79220282610189,6.432437345064411,0.7588831010459108
complex_impedance_target,target_i_b_e_interpolate,15.0,0.787,0.787,2.2,0.0009,0.035,11.8,9.35,0.3,-6.5,0.1,0.2,1.0,0.8,0.2,0.05,0.18,5.0,target_i_b_e_interpolate,3.2,0.9,5.4,0.8,0.15,2.5,3.2,5,0.0147638,True,270,9.791278839111328,217507,10.0,0.7563845907955364,-0.16267411763652148,0.773679854811893,-12.137603834914298,233.89653410907266,-189.5718269097645,2.228774224355922,0,False,264.1125003009798,3.7717309276385103,0.773679854811893
