stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,source_port,coupling_relation,s_magnitude,s_phase_deg,source_magnitude,term_real,term_imag,term_magnitude,term_alignment_with_total
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P00,self,0.13840586460662296,-126.940543860558,0.35133876081560694,0.04610848922066097,-0.015447520826851297,0.04862734496050358,0.7289493343553624
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P10,x_neighbor,0.177287235448698,-24.2139363904075,0.6382725698706185,0.045134407971719886,0.10376667570599883,0.11315757937509789,0.7453199644922441
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P01,y_neighbor,0.221120650005401,-124.185373834792,0.0,0.0,-0.0,0.0,0.0
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P11,diagonal,0.0636525603121721,139.228562638808,0.6849592758225419,0.027716621315574536,-0.03365557303155288,0.04359941161567608,0.2553323674514049
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.681697214275334,-0.0891938187077574,0.08155174612061397,0.12085621453195268,0.9157479884904819
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P10,self,0.136232878997807,-128.024603514836,0.4554430647830133,0.059338963318017565,0.01812824453211605,0.06204631993497463,-0.11990770817573256
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P01,diagonal,0.063880131359037,139.19540158061,0.0,-0.0,0.0,0.0,0.0
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P11,y_neighbor,0.22114394099010298,-124.185421282005,0.5725911127605708,-0.0629057180425544,0.10989438227255868,0.1266250552517811,0.9946797950864469
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P00,x_neighbor,0.177287235448698,-24.2139363904075,0.5193917350691712,0.08987440855954336,-0.020039907690095636,0.09208152482531594,0.9929410303555833
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P10,self,0.136232878997807,-128.024603514836,0.48363866591364313,0.007496110024513052,-0.0654596775882498,0.06588748785207414,0.4370309963827767
