stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,s_column_port,coupling_relation,d_active_rl_db_d_re_s,d_active_rl_db_d_im_s,jacobian_magnitude
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P00,self,-2.5421602883260634,23.17092784406648,23.30996516699408
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P10,x_neighbor,-17.205573674485876,38.694045258503365,42.346911386018085
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P01,y_neighbor,-0.0,-0.0,0.0
6,old_285_replay,426105,2,0.800000011920929,corner,combined,-1,P00,8.57454635146132,0.3726255949264088,0.35133876081560694,0.13091781476962278,0.019814743321779238,0.03189709811219167,False,False,P11,diagonal,37.48096510361602,25.69766809722089,45.444393391632005
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P00,x_neighbor,-17.320298824183535,19.169938782174484,25.835620841608023
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P10,self,-14.773984284262134,8.92554579188902,17.260822092667905
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P01,diagonal,-0.0,-0.0,0.0
7,old_285_replay,426105,2,0.800000011920929,corner,task,0,P10,5.964943386795066,0.5032141338015789,0.4554430647830133,0.22918538734072041,0.08516164441652613,0.10082409134599887,False,False,P11,y_neighbor,13.977367117101833,16.599692118825203,21.700612202563022
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P00,x_neighbor,-14.40727919012811,8.66558887254662,16.81255852540898
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P10,self,-6.877733153881455,14.063548378467079,15.655242135766668
