state,incident_power_w,reflected_power_w,accepted_power_w,hfss_radiation_efficiency,radiated_power_w,system_efficiency
basis_0,1.0,0.10353293750365467,0.8964670624963453,1.00842248114205,0.9040175394246897,0.9040175394246897
basis_1,1.0,0.10297547499215517,0.8970245250078448,1.00648274793621,0.9028397088960691,0.9028397088960691
basis_2,1.0,0.10387965382287115,0.8961203461771289,1.00805178282094,0.9033357125859728,0.9033357125859728
basis_3,1.0,0.10384382308121087,0.8961561769187891,1.00787161951583,0.9032103773702546,0.9032103773702546
pair_re_0_1,2.0,0.17768075512583717,1.8223192448741627,1.01319421971273,1.8463633253777685,0.9231816626888842
pair_im_0_1,2.0,0.2056422425122449,1.7943577574877552,1.00799462237583,1.808702970166011,0.9043514850830054
pair_re_0_2,2.0,0.2863557115751967,1.7136442884248033,1.00998218061232,1.7307501952171302,0.8653750976085651
pair_im_0_2,2.0,0.20840298557909934,1.7915970144209006,1.0086094517011,1.807021682384392,0.903510841192196
pair_re_0_3,2.0,0.1776025013002721,1.8223974986997278,1.00712628069036,1.8353844148048721,0.9176922074024361
pair_im_0_3,2.0,0.20711988114475804,1.792880118855242,1.00831032374954,1.807779533087043,0.9038897665435215
pair_re_1_2,2.0,0.17740807499436012,1.82259192500564,1.00641866271115,1.8342905278323167,0.9171452639161584
pair_im_1_2,2.0,0.20631548909991398,1.793684510900086,1.0075181681855,1.8071697327247593,0.9035848663623797
pair_re_1_3,2.0,0.2847242064072849,1.7152757935927152,1.0086131934775,1.7300497958702017,0.8650248979351008
pair_im_1_3,2.0,0.2067594090951663,1.7932405909048337,1.00675554925386,1.8053549160407123,0.9026774580203561
pair_re_2_3,2.0,0.17759628694420965,1.8224037130557904,1.01292478514781,1.8459578894996078,0.9229789447498039
pair_im_2_3,2.0,0.20760658571542834,1.7923934142845717,1.008144984391,1.8069924306664507,0.9034962153332253
