stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,stimulus_family,source_row,physical_port_order
0,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,old_285_replay,0,P00|P10|P01|P11
1,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,0,3,old_285_replay,1,P00|P10|P01|P11
2,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,1,3,old_285_replay,2,P00|P10|P01|P11
3,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,3,old_285_replay,3,P00|P10|P01|P11
4,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,0,3,old_285_replay,4,P00|P10|P01|P11
5,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,1,3,old_285_replay,5,P00|P10|P01|P11
6,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,combined,-1,3,old_285_replay,6,P00|P10|P01|P11
7,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,0,3,old_285_replay,7,P00|P10|P01|P11
8,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.0,nominal_identity,task,1,3,old_285_replay,8,P00|P10|P01|P11
9,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,combined,-1,3,old_285_replay,9,P00|P10|P01|P11
10,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,0,3,old_285_replay,10,P00|P10|P01|P11
11,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_identity,task,1,3,old_285_replay,11,P00|P10|P01|P11
12,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,combined,-1,3,old_285_replay,12,P00|P10|P01|P11
13,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,0,3,old_285_replay,13,P00|P10|P01|P11
14,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,10.04,frequency_high_E2_source,task,1,3,old_285_replay,14,P00|P10|P01|P11
15,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,combined,-1,2,old_285_replay,15,P00|P10|P01|P11
16,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,0,2,old_285_replay,16,P00|P10|P01|P11
17,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,1,2,old_285_replay,17,P00|P10|P01|P11
18,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,combined,-1,2,old_285_replay,18,P00|P10|P01|P11
19,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,0,2,old_285_replay,19,P00|P10|P01|P11
20,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,1,2,old_285_replay,20,P00|P10|P01|P11
21,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,combined,-1,2,old_285_replay,21,P00|P10|P01|P11
22,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,0,2,old_285_replay,22,P00|P10|P01|P11
23,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.0,nominal_identity,task,1,2,old_285_replay,23,P00|P10|P01|P11
24,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,combined,-1,2,old_285_replay,24,P00|P10|P01|P11
25,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,0,2,old_285_replay,25,P00|P10|P01|P11
26,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_identity,task,1,2,old_285_replay,26,P00|P10|P01|P11
27,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,combined,-1,2,old_285_replay,27,P00|P10|P01|P11
28,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,0,2,old_285_replay,28,P00|P10|P01|P11
29,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,10.04,frequency_high_E2_source,task,1,2,old_285_replay,29,P00|P10|P01|P11
30,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,combined,-1,3,old_285_replay,30,P00|P10|P01|P11
31,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,0,3,old_285_replay,31,P00|P10|P01|P11
32,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,1,3,old_285_replay,32,P00|P10|P01|P11
33,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,2,3,old_285_replay,33,P00|P10|P01|P11
34,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,3,3,old_285_replay,34,P00|P10|P01|P11
35,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,3,old_285_replay,35,P00|P10|P01|P11
36,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,0,3,old_285_replay,36,P00|P10|P01|P11
37,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,1,3,old_285_replay,37,P00|P10|P01|P11
38,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,2,3,old_285_replay,38,P00|P10|P01|P11
39,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,3,3,old_285_replay,39,P00|P10|P01|P11
40,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,combined,-1,3,old_285_replay,40,P00|P10|P01|P11
41,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,0,3,old_285_replay,41,P00|P10|P01|P11
42,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,1,3,old_285_replay,42,P00|P10|P01|P11
43,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,2,3,old_285_replay,43,P00|P10|P01|P11
44,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.0,nominal_identity,task,3,3,old_285_replay,44,P00|P10|P01|P11
45,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,combined,-1,3,old_285_replay,45,P00|P10|P01|P11
46,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,0,3,old_285_replay,46,P00|P10|P01|P11
47,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,1,3,old_285_replay,47,P00|P10|P01|P11
48,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,2,3,old_285_replay,48,P00|P10|P01|P11
49,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_identity,task,3,3,old_285_replay,49,P00|P10|P01|P11
50,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,combined,-1,3,old_285_replay,50,P00|P10|P01|P11
51,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,0,3,old_285_replay,51,P00|P10|P01|P11
52,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,1,3,old_285_replay,52,P00|P10|P01|P11
53,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,2,3,old_285_replay,53,P00|P10|P01|P11
54,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,10.04,frequency_high_E2_source,task,3,3,old_285_replay,54,P00|P10|P01|P11
55,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,combined,-1,2,old_285_replay,55,P00|P10|P01|P11
56,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,0,2,old_285_replay,56,P00|P10|P01|P11
57,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,1,2,old_285_replay,57,P00|P10|P01|P11
58,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,2,old_285_replay,58,P00|P10|P01|P11
59,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,0,2,old_285_replay,59,P00|P10|P01|P11
60,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,1,2,old_285_replay,60,P00|P10|P01|P11
61,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,combined,-1,2,old_285_replay,61,P00|P10|P01|P11
62,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,task,0,2,old_285_replay,62,P00|P10|P01|P11
63,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.0,nominal_identity,task,1,2,old_285_replay,63,P00|P10|P01|P11
64,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,combined,-1,2,old_285_replay,64,P00|P10|P01|P11
65,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,task,0,2,old_285_replay,65,P00|P10|P01|P11
66,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_identity,task,1,2,old_285_replay,66,P00|P10|P01|P11
67,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,combined,-1,2,old_285_replay,67,P00|P10|P01|P11
68,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,task,0,2,old_285_replay,68,P00|P10|P01|P11
69,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,10.04,frequency_high_E2_source,task,1,2,old_285_replay,69,P00|P10|P01|P11
70,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,old_285_replay,70,P00|P10|P01|P11
71,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,0,3,old_285_replay,71,P00|P10|P01|P11
72,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,1,3,old_285_replay,72,P00|P10|P01|P11
73,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,2,3,old_285_replay,73,P00|P10|P01|P11
74,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,3,3,old_285_replay,74,P00|P10|P01|P11
