sample_index,k_value,ratio,best_seed,best_stage,best_active_rl_floor_db,best_pattern_margin_db,best_hardware_margin_db,engineering_strict_pass,reserve11_strict_pass,best_candidate_index_in_scene
426100,2,0.6000000238418579,blend_ls_0.50,seed,12.135392630855895,-0.231536865234375,1.6220356970209266,0,0,3
426102,2,0.699999988079071,direct,seed,12.627750383025694,0.3603973388671875,-1.5307944258526192,0,0,0
426104,2,0.6000000238418579,blend_ls_0.75,seed,11.674478546283058,0.01348114013671875,-2.97484610189818,0,0,4
426105,2,0.800000011920929,direct,seed,12.138833372832014,0.05511474609375,1.0,1,1,0
426106,2,0.6000000238418579,direct,seed,12.312515001682776,0.589447021484375,1.0,1,1,0
426107,2,0.800000011920929,direct,seed,12.171914172966154,0.1204376220703125,1.0,1,1,0
426109,2,0.6000000238418579,blend_ls_0.25,sequential_socp,11.586421635007081,0.0463409423828125,1.502448835707517,1,1,15
426110,4,0.699999988079071,blend_ls_0.25,seed,12.31203224633626,-0.5981063842773438,-0.8841646069681843,0,0,2
426111,4,0.699999988079071,blend_ls_0.25,sequential_socp,12.318257058070417,0.3096923828125,0.007485638712992682,1,1,7
426113,4,0.800000011920929,direct,seed,11.45982383999781,-0.2373809814453125,1.0,0,0,0
426115,4,0.699999988079071,blend_ls_0.25,sequential_socp,11.581685632964794,0.366607666015625,-23.29215161962609,0,0,6
426116,4,0.800000011920929,direct,seed,12.304162259108482,-1.14404296875,-1.1748990826567933,0,0,0
426117,4,0.800000011920929,direct,sequential_socp,11.470128231378602,0.0084381103515625,-5.401542544555717,0,0,5
426120,6,0.800000011920929,block_ls,sequential_socp,10.68725781797955,0.425811767578125,-5.866616578822224,0,0,10
426121,6,0.5,blend_ls_0.25,seed,12.333961390128739,-4.401214599609375,-0.7210915467316923,0,0,2
426122,6,0.699999988079071,block_ls,sequential_socp,10.300299086393474,0.24469757080078125,-13.072205322023017,0,0,10
426124,6,0.800000011920929,blend_ls_0.75,sequential_socp,10.506195343871811,0.2227630615234375,-2.0112875850396605,0,0,5
426125,6,0.6000000238418579,direct,seed,11.459814611103464,-2.5871124267578125,1.0,0,0,0
426126,6,0.699999988079071,blend_ls_0.50,sequential_socp,11.25031107167446,0.21060943603515625,-14.637738099143512,0,0,16
426128,6,0.800000011920929,direct,seed,11.69654598823927,-1.801666259765625,1.0,0,0,0
