branch,source_run,case_id,relative_permittivity,loss_tangent,top_substrate_thickness_mm,feed_substrate_thickness_mm,substrate_thickness_mm,coax_drop_mm,copper_thickness_mm,patch_width_x_mm,aperture_width_y_mm,aperture_offset_y_mm,feed_line_width_mm,grounded_via_fence_enabled,grounded_via_radius_mm,grounded_via_pitch_mm,grounded_via_edge_inset_mm,air_padding_mm,local_mesh_max_length_mm,adaptive_refinement_percent,maximum_passes,spacing_x_mm,spacing_y_mm,patch_length_y_mm,aperture_length_x_mm,open_stub_length_mm,build_return_code,solve_return_code,memory_aborted,free_memory_gib_before,minimum_free_memory_gib,elapsed_seconds,project_exists,touchstone_exists,topology_warning_count,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,frequency_ghz,s11_real,s11_imag,passive_rl_db,input_resistance_ohm,input_reactance_ohm,target_impedance_error_ohm,radiation_efficiency,one_by_one_gate_pass,selection_score,transformer_enabled,transformer_width_mm,transformer_length_mm,transformer_to_aperture_gap_mm,probe_radius_mm,ground_clearance_radius_mm,probe_drop_below_ground_mm,bottom_pad_width_x_mm,bottom_pad_length_y_mm,patch_total_length_y_mm,split_gap_y_mm,differential_probe_spacing_y_mm
aperture_coupled,v145_run03_center,acp00_center,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,9.5,4.8,0,0,False,14.6170654296875,13.831890106201172,56.223443031311035,True,True,0,7,0.0353252,True,16,0.3825798034667969,9151,10.0,-0.713379033402672,-0.37539935238979427,1.871973564097181,5.690803931876715,-12.201790335075385,38.97829176580918,0.973739136368511,False,-2.027291928037174,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp01_patch_short,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.4,9.5,4.8,0,0,False,14.50872802734375,13.795024871826172,51.27662539482117,True,True,0,7,0.0339953,True,16,0.3677177429199219,8794,10.0,-0.6338297173925571,-0.4274901414798561,2.332244515591488,7.284197043399273,-14.988360927676114,37.89441679695867,0.982263064178967,False,-1.3873918755943786,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp02_patch_long,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,10.0,9.5,4.8,0,0,False,14.516845703125,13.713798522949219,51.268669843673706,True,True,0,7,0.0245054,True,16,0.37740325927734375,8971,10.0,-0.7841341967181823,-0.2947451193599562,1.5382307194270415,4.560520001149479,-9.013585978936465,39.80402664474324,0.966261256136896,False,-2.4998507650106525,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp03_slot_short,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,8.0,4.8,0,0,False,14.476970672607422,13.739875793457031,45.756261348724365,True,True,0,6,0.0286066,True,14,0.34874725341796875,8419,10.0,-0.7277732880081905,-0.43701967962543714,1.4228153960805585,4.397723814402763,-13.759256494310735,40.493654346186126,0.955833868111691,False,-2.739565019623978,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp04_slot_long,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,11.0,4.8,0,0,False,14.44580078125,13.707012176513672,50.736438035964966,True,True,0,6,0.0341432,True,14,0.3381233215332031,8399,10.0,-0.7339508618603066,-0.2938776337629431,2.040866778880555,6.06139948229736,-9.501533052453903,38.335094143533645,0.976676576447454,False,-1.756044189754584,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp05_stub_short,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,9.5,3.5,0,0,False,14.538581848144531,13.653034210205078,50.71804928779602,True,True,0,7,0.0464146,True,16,0.389434814453125,8861,10.0,-0.31779258870186267,-0.6492457430503124,2.819035945411559,11.062703856528653,-30.084173243868754,40.52149578790411,0.987396912608872,False,-1.2843945975563127,,,,,,,,,,,,
aperture_coupled,v145_run04_doe,acp06_stub_long,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,11.8,0.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,9.5,6.0,0,0,False,14.445728302001953,13.76287841796875,50.6786994934082,True,True,0,6,0.0384975,True,14,0.3442573547363281,8163,10.0,-0.8667482529863771,-0.023439601316861673,1.2389655275951137,3.5606427145937856,-0.6725278084479407,41.22462986825477,0.952357105828858,False,-3.0400147409853857,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp07_l12_w08,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,12.6,0.8,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,12.0,4.8,0,0,False,14.540840148925781,13.731376647949219,55.70313572883606,True,True,0,8,0.0171424,True,18,0.3805961608886719,8971,10.0,-0.7159598542343771,-0.3016655376270806,2.1925033038073396,6.529348332650898,-9.937852691831354,37.900484319823896,0.980109010729516,False,-1.5323513227072125,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp08_l13_w10,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,13.2,1.0,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,13.0,4.8,0,0,False,14.544509887695312,13.737701416015625,50.93176627159119,True,True,0,7,0.0310646,True,16,0.3607368469238281,8788,10.0,-0.728459632950917,-0.2849489058521653,2.133555212868162,6.324209106723672,-9.285447835740827,38.058836058789524,0.984186862082618,False,-1.60689647178503,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp09_l13_w15,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,13.2,1.5,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,13.0,4.8,0,0,False,14.43082046508789,13.808464050292969,51.46401023864746,True,True,0,6,0.033867,True,14,0.3584480285644531,8370,10.0,-0.7524919108369351,-0.2871640337893,1.8795124286111509,5.56954902887047,-9.105648794328463,38.801513350135174,0.980001035353116,False,-1.9807125032028925,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp10_l11_w10_stub35,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,12.6,1.0,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,11.0,3.5,0,0,False,14.484272003173828,13.728492736816406,50.98992657661438,True,True,0,7,0.0420833,True,16,0.3668670654296875,8958,10.0,-0.37794567738698287,-0.5896884514557682,3.0929422908488657,11.338351502086844,-26.249596123924007,38.22016897067498,0.9918325834062,False,-0.656417887939982,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp11_l13_w10_stub35,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,13.2,1.0,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,13.0,3.5,0,0,False,14.461589813232422,13.662174224853516,51.08440279960632,True,True,0,7,0.0381255,True,16,0.3675193786621094,8801,10.0,-0.39979847305993976,-0.5646569865313431,3.1995804599453463,11.441201405060959,-24.78442740290193,37.41002121955323,0.994667845497119,False,-0.4225870319934,,,,,,,,,,,,
aperture_coupled,v145_run05_strong_aperture,acp12_l13_w10_stub60,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,13.2,1.0,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,13.0,6.0,0,0,False,14.348262786865234,13.681041717529297,51.301180601119995,True,True,0,6,0.0322184,True,14,0.35286712646484375,8533,10.0,-0.8465184417985364,0.005468991310457802,1.4470902566730959,4.155496380006522,0.1603969570037464,40.7730722928901,0.974842508146047,False,-2.719185570968324,,,,,,,,,,,,
aperture_coupled_transformer,v145_run06_transformer,acp13_t8_l50,2.2,0.0009,1.575,0.787,1.575,0.787,0.035,13.2,1.0,0.0,2.4,False,0.15,2.5,0.35,10.0,0.18,5.0,14,15.0,15.0,9.7,13.0,6.0,0,0,False,14.39858627319336,13.882671356201172,41.129252672195435,True,True,0,3,0.0144555,True,8,0.299713134765625,7244,10.0,0.05013646065771103,0.9726366602813422,0.229463017234882,1.392233343000328,52.62436985184936,73.39773376897145,0.814175277317878,False,-9.151846493475079,True,8.0,5.0,,,,,,,,,
