candidate_id,coax_outer_radius_mm,doe_method,driven_patch_length_mm,driven_patch_width_mm,feed_offset_y_mm,main_substrate_thickness_mm,probe_radius_mm,random_seed,siw_via_diameter_mm,siw_via_inset_mm,siw_via_pitch_mm,stack_spacer_thickness_mm,stacked_patch_length_mm,stacked_patch_width_mm
doe_00,0.9466497,constraint_aware_latin_hypercube,9.3336039,10.4110146,-2.5965544,0.8149406,0.2212828,14920260816,0.7402853,0.7283763,0.8174254,1.2202186,9.3123756,11.1033292
doe_01,1.194919,constraint_aware_latin_hypercube,9.0188861,10.4846567,-2.8241769,0.5396668,0.3475759,14920260816,0.6597263,0.8091422,0.8762016,0.7058542,9.3432805,10.0716363
doe_02,1.2008808,constraint_aware_latin_hypercube,8.9554341,11.0615005,-2.5283983,0.6706775,0.2156952,14920260816,0.6380302,0.9133751,1.13223,1.0939856,9.686977,10.9725368
doe_03,1.1252799,constraint_aware_latin_hypercube,9.0992844,11.1899378,-2.1797732,0.6062824,0.2339788,14920260816,0.6231533,0.8855417,0.9049112,0.8024472,9.9172271,10.808362
doe_04,1.1737175,constraint_aware_latin_hypercube,8.8212908,10.9184539,-2.4363812,0.7504327,0.2756884,14920260816,0.6867854,0.7000299,1.0516498,1.1842223,9.7761884,10.1002885
doe_05,1.0136247,constraint_aware_latin_hypercube,8.727245,10.1796295,-1.890323,0.9473301,0.3111653,14920260816,0.6020347,0.7946385,0.9837682,0.9509542,10.120425,10.328098
doe_06,1.0259463,constraint_aware_latin_hypercube,9.4922943,10.5160945,-2.67748,0.598724,0.2722686,14920260816,0.7108628,0.570987,1.181149,1.1378085,9.5111686,11.4675726
doe_07,0.958301,constraint_aware_latin_hypercube,9.4044887,10.5877086,-2.827952,0.7784283,0.2623136,14920260816,0.6477404,0.8555264,1.1245006,0.8949325,10.055923,11.3735888
doe_08,0.8706344,constraint_aware_latin_hypercube,8.7912561,10.9430719,-2.2633765,0.9840359,0.3181514,14920260816,0.6365199,0.6728569,1.07994,1.2460423,9.7129392,10.2479229
doe_09,1.105219,constraint_aware_latin_hypercube,9.3751315,10.6796821,-1.7322575,0.933104,0.2467362,14920260816,0.7177359,0.6500495,0.8329938,0.8417172,10.1820719,11.2643661
doe_10,1.0625245,constraint_aware_latin_hypercube,8.9017973,10.784388,-3.0628916,0.8825876,0.2470489,14920260816,0.6666535,0.9247159,1.012938,1.0424582,9.5986356,10.6424122
doe_11,0.9240868,constraint_aware_latin_hypercube,9.1564094,10.0555475,-1.8612216,0.8324951,0.33916,14920260816,0.6838007,0.6025692,0.8633886,1.266616,9.4062846,10.4598056
doe_12,0.8910119,constraint_aware_latin_hypercube,9.2487963,10.1271931,-3.1835993,0.6606884,0.2090766,14920260816,0.7263751,0.9825831,0.9734825,0.993316,9.5235091,10.5907297
doe_13,1.0979311,constraint_aware_latin_hypercube,9.2982504,9.8021588,-2.0388317,0.7034324,0.3238484,14920260816,0.6129877,0.6164302,1.040503,0.7442715,9.8790631,11.083658
doe_14,1.2254547,constraint_aware_latin_hypercube,8.8505784,9.9661354,-2.1405019,0.8511334,0.3030758,14920260816,0.7464054,0.7546839,1.1699069,1.025786,9.2126373,10.7317018
doe_15,0.9965032,constraint_aware_latin_hypercube,9.1346229,10.237711,-2.9660532,0.5312619,0.2904733,14920260816,0.7015937,0.9596841,0.9288261,0.8627351,10.0002104,11.5566562
